Time,State,Duration (seconds)
01:08:30,wake,510
01:17:00,light,30
01:17:30,deep,570
01:27:00,light,360
01:33:00,deep,600
01:43:00,light,330
01:48:30,deep,840
02:02:30,light,1920
02:34:30,deep,720
02:46:30,light,630
02:57:00,deep,1590
03:23:30,light,60
03:24:30,rem,1800
03:54:30,light,3000
04:44:30,rem,1140
05:03:30,light,2310
05:42:00,deep,270
05:46:30,light,2280
06:24:30,rem,270
06:29:00,wake,600
06:39:00,light,1350
07:01:30,wake,270
07:06:00,light,180
07:09:00,wake,270
07:13:30,light,420
07:20:30,rem,300
07:25:30,light,2730
08:11:00,rem,2310
08:49:30,light,1770
09:19:00,deep,450
09:26:30,light,1290
09:48:00,wake,300
09:53:00,light,270
09:57:30,rem,1230
10:18:00,wake,300
10:23:00,light,1020
10:40:00,wake,570
