Time,State,Duration (seconds)
01:05:00,wake,390
01:11:30,light,630
01:22:00,deep,450
01:29:30,wake,210
01:33:00,light,450
01:40:30,deep,1080
01:58:30,light,1140
02:17:30,rem,1140
02:36:30,light,1530
03:02:00,deep,1680
03:30:00,light,540
03:39:00,rem,870
03:53:30,light,4350
05:06:00,rem,1140
05:25:00,light,1620
05:52:00,rem,1350
06:14:30,light,1380
06:37:30,deep,1170
06:57:00,light,2550
07:39:30,rem,1920
08:11:30,light,1920
08:43:30,deep,300
08:48:30,light,1380
09:11:30,rem,1830
09:42:00,wake,780
09:55:00,light,1200
10:15:00,deep,1230
10:35:30,light,420
10:42:30,wake,450
