Time,State,Duration (seconds)
17:18:00,asleep,2520
18:00:00,restless,120
18:02:00,asleep,540
18:11:00,restless,180
18:14:00,asleep,660
04:27:30,wake,330
04:33:00,light,570
04:42:30,deep,270
04:47:00,light,270
04:51:30,deep,270
04:56:00,light,450
05:03:30,deep,1350
05:26:00,light,480
05:34:00,rem,480
05:42:00,light,780
05:55:00,deep,3330
06:50:30,wake,240
06:54:30,light,240
06:58:30,rem,1830
07:29:00,light,3390
08:25:30,rem,3510
09:24:00,light,3060
10:15:00,rem,1620
10:42:00,light,1320
11:04:00,deep,990
11:20:30,wake,1740
